,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available,five_day_dollar_price
37,91535,0.95,True,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,2,1.0,1.0,7,$145.00,1,18,True,8,6,4.84,True,,72.5,145.0,0.07,0.1,0.16,4.99,De Pijp - Rivierenbuurt,,
38,97221,1.0,True,Slotervaart,52.34801,4.83639,Private room,2,1.0,2.0,1,$64.00,2,8,True,2,4,3.9,False,,32.0,128.0,0.05,0.09,0.17,2.99,Slotervaart,,
39,97476,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2,1.0,1.0,10,$115.00,14,30,True,0,0,4.89,False,,57.5,1610.0,0.07,0.14,0.18,4.99,Zuid,0.0,250.0
40,137026,0.14,False,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,2.0,4.0,11,$265.00,2,1125,True,0,0,4.77,False,,66.25,530.0,0.13,0.25,0.27,4.99,De Pijp - Rivierenbuurt,0.18904109589041096,200.0
41,162467,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1.0,1.0,4,$175.00,3,21,True,0,0,4.75,False,,87.5,525.0,0.06,0.14,0.19,4.99,De Baarsjes - Oud-West,0.4328767123287671,105.0
42,168769,0.65,True,Centrum-West,52.37956,4.89359,Private room,1,1.0,1.0,3,$88.00,3,1124,True,0,0,4.58,True,,88.0,264.0,0.04,0.07,0.18,4.99,Centrum-West,0.0,165.0
43,169356,0.44,False,Centrum-West,52.38104,4.88306,Entire home/apt,2,1.0,1.0,11,$195.00,7,7,True,0,0,5.0,False,,97.5,1365.0,0.06,0.13,0.21,4.99,Centrum-West,0.1780821917808219,65.0
44,171054,,False,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,3,2.0,3.0,3,$120.00,3,5,True,0,0,4.75,False,,40.0,360.0,0.04,0.15,0.15,4.99,De Baarsjes - Oud-West,0.0,118.0
45,179528,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2.0,2.0,10,$270.00,21,100,True,6,0,4.5,True,,90.0,5670.0,0.08,0.21,0.28,4.99,De Pijp - Rivierenbuurt,0.1506849315068493,125.0
46,188347,0.77,False,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2,1.0,1.0,3,$111.00,1,6,True,4,0,4.65,False,,55.5,111.0,0.07,0.12,0.19,4.99,De Baarsjes - Oud-West,0.1178082191780822,80.0
47,189754,1.0,True,Centrum-West,52.37548,4.89398,Entire home/apt,4,2.0,3.0,4,$170.00,2,1125,True,3,7,4.77,True,,42.5,340.0,0.09,0.17,0.14,4.99,Centrum-West,,
48,193038,1.0,True,Centrum-Oost,52.36057,4.89671,Private room,2,1.0,1.0,4,$121.00,3,31,True,2,5,4.96,True,,60.5,363.0,0.07,0.15,0.18,4.99,Centrum-Oost,0.2054794520547945,180.0
49,214531,0.5,True,Centrum-West,52.37169,4.89446,Private room,3,1.0,2.0,5,$115.00,3,50,True,0,0,4.83,False,,38.33,345.0,0.1,0.13,0.18,4.99,Centrum-West,0.0,89.0
50,219276,0.87,False,Centrum-West,52.36883,4.88749,Private room,2,1.0,1.0,17,$300.00,2,760,True,5,1,5.0,False,,150.0,600.0,0.16,0.16,0.24,4.99,Centrum-West,,
51,222516,1.0,False,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,2,1.0,1.0,8,$119.00,7,21,True,0,1,4.71,False,,59.5,833.0,0.07,0.15,0.2,4.99,De Baarsjes - Oud-West,0.0,53.0
52,245927,1.0,True,Centrum-West,52.36815,4.88604,Entire home/apt,4,2.0,3.0,23,$515.00,2,180,True,0,1,4.58,True,,128.75,1030.0,0.1,0.22,0.25,10.99,Centrum-West,0.6410958904109589,100.0
53,247805,0.94,False,De Baarsjes - Oud-West,52.36707,4.87348,Private room,2,1.0,1.0,8,$122.00,2,365,True,1,5,4.86,False,,61.0,244.0,0.08,0.11,0.16,4.99,De Baarsjes - Oud-West,,
54,252080,0.74,False,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2.0,2.0,16,$385.00,4,30,True,0,0,4.89,False,,96.25,1540.0,0.06,0.23,0.16,4.99,Centrum-Oost,0.4520547945205479,150.0
55,254800,0.92,True,Centrum-West,52.37122,4.88211,Entire home/apt,2,1.0,1.0,7,$325.00,2,1125,True,1,0,4.93,False,,162.5,650.0,0.11,0.15,0.2,4.99,Centrum-West,,
56,255809,0.66,True,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,4,1.0,2.0,17,$182.00,2,20,True,3,3,4.87,False,,45.5,364.0,0.06,0.08,0.16,4.99,De Pijp - Rivierenbuurt,,
57,262394,,False,Zuid,52.35695,4.85234,Private room,2,1.0,1.0,7,$88.00,3,30,True,0,0,4.83,False,,44.0,264.0,0.06,0.13,0.15,4.99,Zuid,0.0,200.0
58,274688,0.36,False,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1.0,1.0,5,$88.00,4,30,True,0,0,4.85,False,,44.0,352.0,0.05,0.1,0.18,4.99,Bos en Lommer,0.0,95.0
59,283170,0.89,False,Zuid,52.35435,4.87316,Entire home/apt,12,6.0,12.0,39,"$1,036.00",2,90,True,29,1,4.06,True,,86.33,2072.0,0.11,0.26,0.27,10.99,Zuid,,
60,286374,0.38,False,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,2.0,2.0,1,$130.00,4,21,True,0,1,4.75,False,,32.5,520.0,0.06,0.14,0.18,4.99,Geuzenveld - Slotermeer,0.7013698630136986,210.0
61,286500,0.84,True,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,5,$162.00,3,365,True,1,3,4.89,True,,81.0,486.0,0.09,0.21,0.18,4.99,Centrum-West,0.6136986301369863,210.0
62,290701,1.0,True,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,4,$161.00,3,365,True,3,6,4.85,True,,80.5,483.0,0.08,0.19,0.2,4.99,Centrum-West,0.6794520547945205,295.0
63,291752,0.6,False,Oud-Oost,52.35179,4.91082,Private room,2,1.0,1.0,2,$105.00,3,1125,True,1,0,4.86,False,,52.5,315.0,0.06,0.17,0.16,4.99,Oud-Oost,0.7945205479452054,110.0
